id,firstName,lastName,gender,dateOfBirth,yearArrivedInUS,countryOfBirth,citizenship,languageSpokenAtHome,priorEducation,basisForAdmission,enrollmentYear,programCompleted,completionYear,fieldOfEducation,sat,toefl,gmat,gre,graduateLevel,gpa,typeOfAttendence,modeOfAttendance,tempAddress,permanentAddress,equity,course
47,Rebecca,Patterson,Female,7/30/1991,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Dropped,N/A,Science,N/A,94,N/A,327,Postgraduate,2.9,Full-time,external,"54740 Nova Trail, Fort Wayne, IN","54740 Nova Trail, Fort Wayne, IN",N/A,M.S. in Pure and Applied Logic
48,Lisa,Warren,Female,2/3/1988,N/A,United States,United States,English,Bachelor,Others,2010,Completed,2014,Engineering,2310,107,N/A,340,Undergraduate,3.7,Full-time,internal,"36976 Bartillon Trail, Pittsburgh, PA","39072 Rusk Court, Seattle, WA",N/A,B.S. in Chemical Engineering
49,Earl,Wright,Male,5/23/1986,N/A,United States,United States,English,Bachelor,GMAT/GRE,2010,Completed,2012,Science,2350,112,N/A,335,Undergraduate,3.2,Full-time,internal,"61995 Utah Drive, Pittsburgh, PA","120 Nova Way, Huntington, WV",N/A,B.S. in Chemistry
50,Bonnie,Fernandez,Female,10/25/1990,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Business,2110,98,750,N/A,Undergraduate,3.3,Full-time,external,"58 Cherokee Place, Duluth, GA","58 Cherokee Place, Duluth, GA",N/A,B.S. in Statistics
51,Steven,Bailey,Male,8/17/1990,N/A,United States,United States,English,Master,Academic excellence,2011,Completed,2015,Engineering,2220,100,N/A,334,Undergraduate,3.4,Full-time,internal,"19 Sutherland Terrace, Pittsburgh, PA","94710 Mccormick Place, Orlando, FL",N/A,B.S. in Electrical and Computer Engineering
52,Virginia,Watson,Female,11/17/1989,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Business,2180,108,750,N/A,Undergraduate,3.9,Full-time,external,"1 Bluestem Road, Huntington, WV","1 Bluestem Road, Huntington, WV",N/A,B.A. in Creative Writing
53,Lisa,Martin,Female,4/17/1985,N/A,United States,United States,English,Master,Others,2011,Completed,2013,Science,N/A,106,N/A,326,Postgraduate,3,Full-time,internal,"392 Macpherson Center, Pittsburgh, PA","38 Vidon Alley, Des Moines, IA",N/A,M. of Software Engineering
54,Philip,Gibson,Male,9/30/1993,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Engineering,2080,110,N/A,338,Undergraduate,3.4,Full-time,internal,"0241 Sutherland Place, Pittsburgh, PA","7554 Springs Road, Chico, CA",N/A,B.S. in Mechanical Engineering
55,Craig,Fowler,Male,12/4/1990,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Science,2200,93,N/A,327,Undergraduate,3.5,Full-time,internal,"8 Haas Point, Pittsburgh, PA","93579 Melrose Park, Saint Paul, MN",N/A,B.S. in Computer Science
56,Diana,Bowman,Female,8/28/1988,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Engineering,N/A,110,N/A,331,Postgraduate,3.3,Full-time,internal,"617 Derek Avenue, Pittsburgh, PA","870 Fisk Pass, Brooklyn, NY",N/A,M.S. in Advanced Infrastructure Systems
57,Jesse,Kelly,Male,4/28/1991,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Science,N/A,108,N/A,340,Postgraduate,3.8,Full-time,internal,"27333 Old Gate Terrace, Pittsburgh, PA","56341 Montana Parkway, Bronx, NY",N/A,M.S. in Computational Finance
58,Carolyn,Rogers,Female,1/8/1990,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2013,Engineering,2060,106,N/A,333,Undergraduate,3.7,Full-time,multi-modal,"78 Harper Drive, Pittsburgh, PA","968 Karstens Alley, Terre Haute, IN",N/A,B.S. in an engineering discipline and Biomedical Engineering
59,Patrick,Gilbert,Male,5/3/1994,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Business,N/A,105,680,N/A,Postgraduate,4,Full-time,internal,"59 Superior Terrace, Pittsburgh, PA","92 Chinook Plaza, Wilmington, DE",N/A,M. of Statistical Practices
60,Katherine,Flores,Female,1/22/1990,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Science,2300,99,N/A,331,Undergraduate,3.7,Full-time,internal,"065 Merrick Road, Pittsburgh, PA","8637 Talmadge Trail, New York City, NY",N/A,B.S. in Biological Sciences
61,Robert,Stephens,Male,10/27/1985,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2014,Engineering,2150,101,N/A,326,Undergraduate,3.9,Full-time,internal,"98 Lake View Way, Pittsburgh, PA","46 Mcguire Junction, Punta Gorda, FL",N/A,B.S. in Electrical and Computer Engineering
62,Deborah,Boyd,Female,9/6/1989,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Engineering,2260,118,N/A,336,Undergraduate,3.6,Full-time,multi-modal,"23 Sutteridge Avenue, Pittsburgh, PA","380 Florence Alley, San Jose, CA",N/A,B.S. in an engineering discipline and Biomedical Engineering
63,Douglas,Palmer,Male,6/15/1988,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Engineering,N/A,102,N/A,339,Postgraduate,3.6,Full-time,internal,"5 Reindahl Way, Pittsburgh, PA","27445 Hansons Junction, Gary, IN",N/A,M.S. in Mechanical Engineering
64,Alice,Tucker,Female,12/30/1987,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Science,2160,116,N/A,336,Undergraduate,3.5,Full-time,internal,"502 Spaight Circle, Pittsburgh, PA","44 Marcy Junction, Metairie, LA",N/A,B.S. in Biological Sciences
65,Pamela,Burns,Female,3/23/1989,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2012,Engineering,N/A,94,N/A,338,Postgraduate,3.8,Full-time,internal,"48664 Wayridge Pass, Pittsburgh, PA","19471 Sage Circle, Annapolis, MD",N/A,M.S. in Civil and Environmental Engineering
66,Janet,Rivera,Female,10/16/1993,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Science,2140,104,N/A,327,Undergraduate,3.8,Full-time,internal,"3 Northport Crossing, Pittsburgh, PA","657 Killdeer Junction, Pasadena, TX",N/A,B.S. in Computer Science
67,Russell,Barnes,Male,2/13/1991,N/A,United States,United States,English,Master,Academic excellence,2010,Completed,2014,Science,N/A,109,N/A,335,Postgraduate,3.7,Full-time,internal,"1591 Basil Park, Pittsburgh, PA","908 Dovetail Crossing, Saint Louis, MO",N/A,M. of Software Engineering
68,Edward,White,Male,1/2/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Engineering,2050,103,N/A,325,Undergraduate,3.8,Full-time,internal,"057 Bellgrove Junction, Pittsburgh, PA","9368 Independence Street, Seattle, WA",N/A,B.S. in Mechanical Engineering
69,Theresa,Ross,Female,9/22/1985,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Engineering,N/A,93,N/A,335,Postgraduate,3.8,Full-time,internal,"97 Cambridge Court, Pittsburgh, PA","6970 Clemons Park, Silver Spring, MD",N/A,M.S. in Environmental Management and Science
70,Marie,Berry,Female,9/8/1987,N/A,United States,United States,English,Bachelor,Awards,2011,Completed,2013,Engineering,2220,112,N/A,328,Undergraduate,3.4,Full-time,internal,"307 Fuller Crossing, Pittsburgh, PA","3 Hermina Drive, Rockford, IL",N/A,B.S. in Civil Engineering
71,Frank,Miller,Male,8/8/1993,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Science,2160,112,N/A,337,Undergraduate,3,Full-time,internal,"4106 Service Drive, Pittsburgh, PA","08 Fremont Pass, Charlotte, NC",N/A,B.S. in Computer Science
72,Doris,Cole,Female,5/6/1988,N/A,United States,United States,English,Bachelor,Awards,2011,Completed,2013,Science,2100,107,N/A,338,Undergraduate,3.7,Part-time,internal,"39172 Alpine Trail, Pittsburgh, PA","517 Coleman Terrace, Memphis, TN",N/A,B.S. in Biological Sciences
73,Philip,Little,Male,7/19/1991,N/A,United States,United States,English,Bachelor,Industrial Experiences,2010,Completed,2014,Engineering,2170,92,N/A,337,Undergraduate,3.2,Full-time,external,"61548 Riverside Point, Detroit, MI","61548 Riverside Point, Detroit, MI",N/A,B.S. in Mechanical Engineering
74,Ann,Austin,Female,10/25/1994,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Science,2180,97,N/A,339,Undergraduate,3.8,Full-time,internal,"5600 Swallow Way, Pittsburgh, PA","863 Sunbrook Center, Raleigh, NC",N/A,B.S. in Biological Sciences
75,Gary,Rodriguez,Male,10/5/1989,N/A,United States,United States,English,Bachelor,Awards,2011,Completed,2013,Science,2250,94,N/A,336,Undergraduate,3.1,Full-time,internal,"95076 Jenifer Drive, Pittsburgh, PA","8190 Burning Wood Alley, Amarillo, TX",N/A,B.S. in Physics
76,Bonnie,Montgomery,Female,5/18/1988,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Engineering,2260,94,N/A,339,Undergraduate,3.2,Full-time,internal,"11085 Clove Lane, Pittsburgh, PA","4 Memorial Point, Toledo, OH",N/A,B.S. in Electrical and Computer Engineering
77,Benjamin,Meyer,Male,2/28/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Science,N/A,96,N/A,333,Postgraduate,3.7,Full-time,internal,"688 Gulseth Pass, Pittsburgh, PA","3 Green Ridge Drive, Springfield, MA",N/A,M.S. in Computer Science
78,Denise,Green,Female,5/22/1990,N/A,United States,United States,English,Bachelor,Awards,2011,Completed,2013,Science,2220,94,N/A,331,Undergraduate,3.4,Full-time,external,"23 Milwaukee Hill, Minneapolis, MN","23 Milwaukee Hill, Minneapolis, MN",N/A,B.S. in Computer Science
79,Rebecca,Gibson,Female,1/22/1989,N/A,United States,United States,English,Bachelor,Others,2010,Completed,2014,Engineering,N/A,99,N/A,339,Postgraduate,3.3,Full-time,internal,"5 Spenser Park, Pittsburgh, PA","99 Thompson Center, Vancouver, WA",N/A,M.S. in Electrical and Computer Engineering
80,Kathy,Burke,Female,12/24/1985,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Science,2180,110,N/A,332,Undergraduate,3.9,Full-time,internal,"5167 Westend Hill, Pittsburgh, PA","50 Hooker Circle, Saint Paul, MN",N/A,B.S. in Computer Science
81,Philip,Jenkins,Male,12/24/1992,N/A,United States,United States,English,Master,GMAT/GRE,2010,Completed,2014,Science,2170,102,N/A,330,Undergraduate,3.9,Full-time,external,"646 Straubel Drive, Beaverton, OR","646 Straubel Drive, Beaverton, OR",N/A,B.S. in Computer Science
82,Margaret,Jordan,Female,12/3/1994,N/A,United States,United States,English,Bachelor,Others,2011,Completed,2013,Science,N/A,95,N/A,327,Postgraduate,3.5,Full-time,external,"17 Macpherson Plaza, Toledo, OH","17 Macpherson Plaza, Toledo, OH",N/A,M.S. in Language Technologies
83,Nicole,Nelson,Female,12/14/1986,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2012,Science,N/A,97,N/A,338,Postgraduate,3.2,Full-time,internal,"7 Carioca Parkway, Pittsburgh, PA","252 Carpenter Hill, Anderson, SC",N/A,M.S. in Computational Finance
84,Helen,Cunningham,Female,10/28/1986,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Science,2260,116,N/A,333,Undergraduate,4.1,Full-time,internal,"2741 Manley Drive, Pittsburgh, PA","052 Ohio Trail, Warren, MI",N/A,B.S. in Biological Sciences
85,Benjamin,Lynch,Male,9/12/1994,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2012,Business,2180,110,770,N/A,Undergraduate,3.4,Full-time,internal,"420 Lillian Lane, Pittsburgh, PA","151 Pierstorff Place, Dallas, TX",N/A,B.A. in Creative Writing
86,Debra,Stevens,Female,4/24/1987,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Science,2200,105,N/A,327,Undergraduate,3.8,Full-time,internal,"262 Shoshone Hill, Pittsburgh, PA","65 Springview Pass, Detroit, MI",N/A,B.S. in Computational Biology
87,Janet,Armstrong,Female,4/28/1987,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2015,Science,2150,108,N/A,339,Undergraduate,3.8,Full-time,internal,"3217 Fairview Point, Pittsburgh, PA","42015 Londonderry Place, Chula Vista, CA",N/A,B.S. in Computational Biology
88,William,Wright,Male,10/7/1986,N/A,United States,United States,English,Bachelor,Others,2011,Completed,2015,Engineering,2320,100,N/A,338,Undergraduate,3.2,Full-time,external,"2 Schmedeman Avenue, Warren, MI","2 Schmedeman Avenue, Warren, MI",N/A,B.S. in an engineering discipline and Biomedical Engineering
89,Mildred,Cole,Female,6/13/1994,N/A,United States,United States,English,Bachelor,Awards,2011,Completed,2013,Science,N/A,113,N/A,337,Postgraduate,3.7,Full-time,external,"66 Mccormick Circle, Farmington, MI","66 Mccormick Circle, Farmington, MI",N/A,M.S. in Music and Technology
90,Albert,Cooper,Male,4/21/1985,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Dropped,N/A,Science,2170,113,N/A,328,Undergraduate,2.4,Full-time,internal,"5629 Manufacturers Lane, Pittsburgh, PA","71666 Dakota Alley, Boise, ID",N/A,B.S. in Physics
91,Mary,Ryan,Female,4/29/1991,N/A,United States,United States,English,Bachelor,GMAT/GRE,2011,Completed,2015,Engineering,N/A,111,N/A,333,Postgraduate,3.2,Full-time,multi-modal,"1196 Vernon Street, Pittsburgh, PA","9 Everett Park, Little Rock, AR",Disability,M.S. in Engineering and Technology Innovation Management
